mod_word_num,mean,low,high,above,intercept,pval_equiv,mean_ms,low_ms,high_ms
-5,-0.23001888819414817,-3.8276162133259555,3.159482244982255,0.41675,7.077934323065142,0.83,-243.60171734126504,-1159.7185467596682,26743.363191696462
-4,0.39778460694080037,-2.423947361039645,2.9111668036285763,0.67125,6.502273680357235,0.66,325.676881223235,-607.6091110667878,11585.295515455839
-3,-0.15194246347505508,-3.1467555668993334,2.6898696036987357,0.4035,7.008661170372036,0.81,-155.9286190094915,-1058.6166487618846,15187.478013086162
-2,-0.21940580282754887,-3.3939317225915318,3.2343711104318125,0.43425,7.165007747219854,0.87,-254.79964913535014,-1249.9448528203964,31545.84988619202
-1,-0.3292472445302167,-3.1695074507211105,2.1743482486575587,0.3625,6.8994043745468945,0.72,-278.20192375231693,-950.0090552450679,7731.613842844198
0,0.20538993271892553,-3.6901970327519473,5.1825443031654075,0.54275,6.856688427977823,0.91,216.65267396868035,-926.491045901651,168316.8021672807
1,0.08277166469577868,-3.916947155290355,4.009200753981404,0.5435,6.657384017410788,0.91,67.18068683971342,-763.0179456837978,42119.67223232921
2,-0.01761172511177029,-3.4770429917088737,3.2157809809122013,0.504,6.86207323101821,0.99,-16.677990116875662,-925.8267826731511,22854.494149554972
3,-0.3821253666229241,-4.494299716258257,4.043324003123353,0.38625,7.1527112409379745,0.77,-405.74252768252086,-1263.291452676622,71563.50644979007
4,-0.2439565202225589,-3.1727578417081377,2.509169017961637,0.3795,6.90407792122189,0.76,-215.6836928964966,-954.5952312072214,11253.250721087386
5,-0.444994051064744,-4.483254863125529,3.469966276434904,0.359,7.167980102889348,0.72,-465.9255980523815,-1282.5675258922329,40389.85211661885
